species,family,order,fishbase_name,fishbase_column_pos,depth_min,depth_max,migration,length_cm,length_type,diet_fishbase,buek_diet,diet_cat,diet_source,feeding_pos,mouth_pos,caudal_fin_shape,bottom_type,habitat,add_rems,comments,temp_min,temp_max,salinity_min,salinity_max,salinity_comments,temp_sal_source,parental_care,fecundity,life_span,social,sources,fish,decapod,pelagic_crustacean,pteropoda,worm,tunicate,cephalopod,gastropod,ctenophora,echinoderm,bivalvia,cnidaria,eggs,bird,in_phylo
Aristostomias scintillans,Stomiidae,Stomiiformes,Aristostomias scintillans,bathypelagic,0,1219,NA,23,TL,hunting macrofauna (predator),planktivorous,planktivore,Beukhof et al. 2019,pelagic,terminal,forked,pelagic,pelagic,NA,"Feed on crustaceans (Ref. 4525).  Probably spawn in spring (Ref. 35921).  Apparently, undergo diurnal migration (Ref. 35921).  Oviparous, with planktonic eggs and larvae (Ref. 35921).",NA,NA,NA,NA,NA,NA,non-guarder,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Bathophilus flemingi,Stomiidae,Stomiiformes,Bathophilus flemingi,bathypelagic,225,1370,NA,16,TL,hunting macrofauna (predator),benthivorous,invertivore,Beukhof et al. 2019,benthic,terminal,forked,pelagic,pelagic,Feeds on crustaceans (Ref. 4525).,"Feed on small crustaceans (Ref. 4525).  Oviparous, with planktonic eggs and larvae (Ref. 35904).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Chauliodus macouni,Stomiidae,Stomiiformes,Chauliodus macouni,bathypelagic,25,4390,NA,29.29999924,TL,hunting macrofauna (predator),generalist,invertivore,fishbase,variable,terminal,forked,pelagic,pelagic,Feeds on benthic and planktonic invertebrates (Ref. 6885).,"Migrate upward at night (Ref. 28499).  Feed on small planktonic crustaceans, arrow worms and fish (Ref. 28499).  Has photophores on belly arranged in a row (Ref. 2850).  Oviparous, with planktonic eggs and larvae (Ref. 35898).  Also caught with bottom trawls.",NA,NA,NA,NA,NA,NA,non-guarder,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Flagellostomias boureei,Stomiidae,Stomiiformes,Flagellostomias boureei,bathypelagic,0,3000,NA,32.20000076,SL,NA,NA,generalist,fishbase,pelagic,terminal,forked,pelagic,pelagic,NA,Meso- (Ref. 4468) and bathypelagic (Ref. 58302).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Idiacanthus antrostomus,Stomiidae,Stomiiformes,Idiacanthus antrostomus,bathypelagic,0,1103,NA,33,TL,hunting macrofauna (predator),generalist,generalist,fishbase,pelagic,terminal,forked,pelagic,pelagic,NA,"Mesopelagic species (Ref. 559).  Migrates to the surface at night and return to the depths at dawn.  Feed mainly on small fishes and crustaceans (Ref. 4525).  Oviparous, with planktonic eggs and larvae (Ref. 35926).  Exhibit extreme sexual dimorphism, with larvoid males (Ref. 35926).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Neonesthes capensis,Stomiidae,Stomiiformes,Neonesthes capensis,bathypelagic,70,1650,NA,17,SL,hunting macrofauna (predator),NA,generalist,fishbase,pelagic,terminal,forked,pelagic,pelagic,An oceanic and mesopelagic species usually found deeper than 500 m during the day.  Feeds on midwater fishes and crustaceans.,An oceanic and mesopelagic species usually found deeper than 500 m during the day (Ref. 2802).  Feeds on midwater fishes and crustaceans (Ref. 2802).  Also Ref. 58302.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Opostomias mitsuii,Stomiidae,Stomiiformes,Opostomias mitsuii,bathypelagic,60,1366,NA,36,SL,NA,NA,NA,NA,pelagic,terminal,forked,pelagic,pelagic,Mesopelagic.,Mesopelagic (Ref. 58302).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Pachystomias microdon,Stomiidae,Stomiiformes,Pachystomias microdon,bathypelagic,660,4000,NA,22.10000038,SL,hunting macrofauna (predator),NA,NA,NA,pelagic,terminal,forked,pelagic,pelagic,NA,Meso- (Ref. 27000) and bathypelagic (Ref. 58302).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Photonectes margarita,Stomiidae,Stomiiformes,Photonectes margarita,bathypelagic,808,5087,NA,39.59999847,SL,NA,NA,NA,NA,pelagic,terminal,forked,pelagic,pelagic,NA,Mesopelagic species (Ref. 559).,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Rhadinesthes decimus,Stomiidae,Stomiiformes,Rhadinesthes decimus,bathypelagic,0,4900,NA,41,SL,hunting macrofauna (predator),NA,carnivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,An oceanic (Ref. 2802) and meso-bathypelagic species (Ref. 4465). Usually found deeper than 500 m during the day (Ref. 2802). Feeds on midwater fishes and crustaceans.,An oceanic (Ref. 2802) and mesopelagic-bathypelagic species (Ref. 4465).  Usually found deeper than 500 m during the day (Ref. 2802).  Feeds on midwater fishes and crustaceans (Ref. 2802).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Tactostoma macropus,Stomiidae,Stomiiformes,Tactostoma macropus,bathypelagic,30,2000,NA,34.29999924,TL,hunting macrofauna (predator),piscivorous,piscivore,Beukhof et al. 2019,pelagic,terminal,forked,pelagic,pelagic,NA,"Mesopelagic migrating into epipelagic at night (Ref. 35904).  Oviparous, with planktonic eggs and larvae (Ref. 35904).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Peprilus simillimus,Stromateidae,Perciformes,Peprilus simillimus,benthopelagic,9,91,NA,28,SL,NA,NA,NA,NA,NA,terminal,forked,sandy bottoms,pelagic,NA,"Commonly found on sand bottom of exposed coasts.  Usually occurs in shallow water near shore and often forms small, but fairly dense, schools (Ref. 4563).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,schooling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Synodus lucioceps,Synodontidae,Aulopiformes,Synodus lucioceps,reef-associated,1,229,NA,64,TL,hunting macrofauna (predator),piscivorous,piscivore,fishbase,pelagic,terminal,forked,sandy and rocky bottoms,benthic,Perch motionless on pectoral fins in a wide range of habitats; commonly found on sandy bottoms or sand patches around rocky reefs and boulder/gravel strewn slopes. Active during the day. May bury in sand with only the eyes and mouth protruding. Feed on fishes.,"Perch motionless on pectoral fins in a wide range of habitats; commonly found on sandy bottoms or sand patches around rocky reefs and boulder and gravel strewn slopes.  Active during the day.  May bury in sand with only the eyes and mouth protruding (Ref. 5227).  Feed on fishes (Ref. 9348).  Oviparous, with planktonic eggs and larvae (Ref. 35938).  Extended larval period (Ref. 35938).  Catches are either discarded or made into fish meal (Ref. 9348).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Desmodema lorum,Trachipteridae,Lampridiformes,Desmodema lorum,pelagic-oceanic,0,500,oceanodromous,114,TL,NA,NA,NA,NA,NA,terminal,truncate,pelagic,pelagic,NA,"Oceanic.  Adults are epipelagic to upper mesopelagic (Ref. 36610).  Young live near surface.  Adults probably occur in deeper water.  Oviparous, with planktonic eggs and larvae (Ref. 36610).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Trachipterus altivelis,Trachipteridae,Lampridiformes,Trachipterus altivelis,pelagic-oceanic,0,900,oceanodromous,183,TL,NA,generalist,carnivore,fishbase,variable,terminal,truncate,pelagic,pelagic,NA,"Oceanic (Ref. 2850).  Also found near shore, but large adults sometimes feed on the bottom (Ref. 2850).  Small individuals feed on copepods, annelid worms, and fish larvae; larger individuals feed on copepods, euphausiids, small pelagic fishes, young rockfishes, squid, and Octopoda (Ref. 6885).  Oviparous, with planktonic eggs and larvae (Ref. 36610).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Galeorhinus galeus,Triakidae,Carcharhiniformes,Galeorhinus galeus,benthopelagic,0,1100,oceanodromous,193,TL,hunting macrofauna (predator),piscivorous,carnivore,fishbase,variable,inferior,heterocercal,NA,demersal,"Occurs on the continental shelf and slope (Ref. 75154).  Demersal piscivore (Ref. 12223).  In the southern waters of Australia, school sharks are found in schools which are of mainly similar sex and similar size.  A great part of the population migrates to the warmer waters of South Australia and New South Wales in the late summer and winter months.  They return to the Bass Strait and the continental shelf around Australia during October or November (Ref. 6390).  The species undertakes long migrations (movements) up to 2,500 km in the northeast Atlantic and to 1,400 km in southern Australia (Ref. 6871).","Mainly demersal on continental and insular shelves, but also on the upper slopes, at depths from near shore to 550 m (Ref. 6871), but has been shown to be pelagic in the open ocean (frequently caught on floating tuna longlines over deep water, and many New Zealand-tagged specimens have been recaptured in Australia) (Ref. 26346).  Occurs in small schools that are highly migratory in higher latitudes in their range (Ref. 244).  There is pronounced partial segregation by size and sex in some areas (Ref. 244).  Feeds on fishes (bottom as well as pelagic species, Ref. 26346), crustaceans, cephalopods, worms, and echinoderms (Ref. 244).  Ovoviviparous (Ref. 50449).  Targeted for human consumption, liver for squalene oil, fins for soup (Ref. 244); also utilized as fishmeal (Ref. 13563).  Marketed fresh, dried-salted, and frozen (Ref. 9987).  Adapts well in captivity if carefully captured and handled (Ref. 12951).",NA,NA,NA,NA,NA,NA,bearer,NA,57,schooling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Mustelus californicus,Triakidae,Carcharhiniformes,Mustelus californicus,demersal,0,200,NA,116,TL,hunting macrofauna (predator),benthivorous,carnivore,fishbase,variable,inferior,heterocercal,soft bottoms,demersal,NA,"A common inshore and offshore shark found on the continental shelves, and entering shallow muddy bays.  Feeds mostly on crabs, including cancrids and grapsids, ghost shrimp, innkeeper (echiuroid) worms (<i>Urechis</i>), and small fish (herring and midshipmen, <i>Porichthys</i>).  Viviparous (with a yolk-sac placenta), with 2 to 5 young in a litter.  Utilized for human consumption.",NA,NA,NA,NA,NA,NA,bearer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Mustelus henlei,Triakidae,Carcharhiniformes,Mustelus henlei,demersal,0,281,NA,100,TL,hunting macrofauna (predator),benthivorous,carnivore,fishbase,variable,inferior,heterocercal,NA,demersal,NA,"Adults are found on the continental shelves from the intertidal region to at least 200 m depth.  They  feed on crabs, ghost shrimps, mantis shrimps, isopods, squids, polychaete worms, tunicates and small bony fishes.  Viviparous (with a yolk-sac placenta), with 3 to 5 young in a litter.  Size at birth between 19 and 21 cm.  Readily kept in captivity.  Utilized for human consumption.  Marketed fresh, smoked and frozen (Ref. 9987).",NA,NA,NA,NA,NA,NA,bearer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Triakis semifasciata,Triakidae,Carcharhiniformes,Triakis semifasciata,demersal,0,156,NA,198,TL,hunting macrofauna (predator),generalist,carnivore,fishbase,variable,inferior,heterocercal,sandy mud bottoms,demersal,NA,"Found in shallow water from the intertidal to deeper waters, most commonly in enclosed muddy bays; including estuaries and lagoons (S. Wilson, pers. comm.).  Prefer sandy areas, mud flats, and bottoms strewn with rocks near rocky reefs and kelp beds.  Feed mainly on crabs, shrimps, bony fish, fish eggs, clam necks and innkeeper worms among a large variety of food in its diet.  Form mixed schools.  Ovoviviparous (aplacental), with 4 to 29 young in a litter.  Utilized fresh or frozen for human consumption.",NA,NA,NA,NA,NA,NA,bearer,NA,30,schooling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Aphanopus arigato,Trichiuridae,Perciformes,Aphanopus arigato,benthopelagic,0,1350,NA,72,SL,NA,NA,NA,NA,NA,terminal,forked,pelagic,pelagic,NA,"Juveniles mesopelagic at 146-190 m at night, 300-1100 m during day; adults benthopelagic (Ref. 58302).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Benthodesmus pacificus,Trichiuridae,Perciformes,Benthodesmus pacificus,benthopelagic,100,1000,NA,112,SL,NA,NA,NA,NA,NA,terminal,forked,NA,NA,NA,"Occurs from 305 m (depth of specimens hooked off Manazuru, Japan) and deeper, sometimes migrating to the surface.  Juveniles mesopelagic from 100 to 500 (1000) m depth.",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Lepidopus fitchi,Trichiuridae,Perciformes,Lepidopus fitchi,benthopelagic,100,500,NA,210,SL,variable,generalist,carnivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,"Benthopelagic on the continental shelf  and slope, up to a depth of 400 m or more; generally found over sandy bottoms at a depth between 100 and 250 m. During cold season, it is often seen near the surface at nights when the moon is full. May also be encountered in surge zones and sometimes observed to be beached in large numbers by the shore. A schooling species which feeds on cephalopods, euphausiids and small fishes, including <i>Engraulis mordax</i> and juvenile <i>Merluccius productus</i>.","Benthopelagic on the continental shelf  and slope, up to a depth of 400 m or more; generally found over sandy bottoms at a depth between 100 and 250 m (Ref. 9351).  During cold season, it is often seen near the surface at nights when the moon is full (Ref. 9351).  May also be encountered in surge zones and sometimes observed to be beached in large numbers by the shore (Ref. 9351).  A schooling species which feeds on cephalopods, euphausiids and small fishes, including <i>Engraulis mordax</i> and juvenile <i>Merluccius productus</i>.  Marketed fresh and frozen (Ref. 9351).  Excellent food fish, also processed into fish meal and oil (Ref. 9351).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,schooling,fishbase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Trichodon trichodon,Trichodontidae,Perciformes,Trichodon trichodon,NA,0,375,NA,30.5,TL,hunting macrofauna (predator),generalist,piscivore,fishbase,benthic,superior,forked,sandy mud bottoms,buried,"Adults are found in deeper waters whereas larvae and juveniles occupy shallow, nearshore habitats (Ref. 57910).  Usually buried in muddy or sandy bottoms with mouth protruding (Ref. 2850). Larvae and juveniles use shallow, nearshore habitats, whereas most adults occupy deeper waters farther from shore (Ref. 57910).  Water temperature in summer and winter were about 10ª??C and 4ª??C, and salinity ranged from 30 to 33 PSS.  Both planktivorous and piscivorous (Ref. 57910).","Adults are found in deeper waters whereas larvae and juveniles occupy shallow, nearshore habitats (Ref. 57910).  Usually buried in muddy or sandy bottoms with mouth protruding (Ref. 2850).  Eggs are laid in a gelatinous mass that is attached to rocks (Ref. 2850).  Some have been caught by hand in shallow water (Ref. 2850).",-0.6,12,NA,NA,NA,Love 2011,non-guarder,1000,9,schooling,Love 2011,100,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
Prionotus stephanophrys,Triglidae,Scorpaeniformes,Prionotus stephanophrys,demersal,15,110,NA,43,TL,hunting macrofauna (predator),generalist,NA,NA,NA,terminal,truncate,sandy mud bottoms,benthic,Forms schools. Known to occur at 60-360 m (Ref. 9098).  Inhabits sand or sandy-mud bottom (Ref. 2850).,Inhabits sand or sandy-mud bottom (Ref. 2850).,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,schooling,fishbase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Zaprora silenus,Zaproridae,Perciformes,Zaprora silenus,NA,0,675,NA,88,TL,hunting macrofauna (predator),generalist,planktivore,fishbase,pelagic,terminal,rounded,rocky bottoms,demersal,"Pre-adults stage are pelagic and become demersal. Found in rocky areas. Prowfish feeds gelatinous zooplankton, primarily scyphozoa and salps.  Also found in the stomach of juveniles (5-13.3 cm) are hyperiid amphipods and remains of jellyfish tentacles (Ref. 50718).","Adults occur near bottom (Ref. 2850).  Young to 7.2 cm are pelagic or bathypelagic, usually associated with jellyfish (Ref. 6885). Juveniles take shelter under the medusae and are often mistaken for medusafish <i>Icichthys lockingtoni</i> (Ref. 50276).",0.2,8.5,NA,NA,brackish,Love 2011,NA,NA,20,NA,Blake et al. supp mat,3.29218107,0,41.15226337,0,3.29218107,16.87242798,0.411522634,0,6.995884774,0,0,27.98353909,0,0,TRUE
Bothrocara brunneum,Zoarcidae,Perciformes,Bothrocara brunneum,NA,199,1829,NA,74,TL,hunting macrofauna (predator),generalist,invertivore,NOAA,benthic,terminal,pointed,sandy mud bottoms,benthic,NA,"Found on mud or sandy-mud bottoms (Ref. 2850).  The stomach contents indicate that it feeds upon a wide variety of bottom-dwelling organisms, probably eating anything it encounters that has food value and is small enough to ingest (Ref. 4525).",2.4,7,NA,NA,NA,Love 2011,guarder,1960,NA,NA,NA,0,90,0,0,10,0,0,0,0,0,0,0,0,0,TRUE
Bothrocara hollandi,Zoarcidae,Perciformes,Bothrocara hollandi,bathydemersal,140,1950,NA,31.79999924,SL,NA,NA,NA,NA,NA,terminal,pointed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Bothrocara molle,Zoarcidae,Perciformes,Bothrocara molle,bathydemersal,60,2688,NA,56,TL,NA,NA,NA,NA,NA,terminal,pointed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Bothrocara nyx,Zoarcidae,Perciformes,Bothrocara nyx,bathypelagic,790,1508,NA,21.70000076,SL,NA,NA,NA,NA,NA,terminal,pointed,NA,NA,NA,Known from the upper continental slope (Ref. 56148).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Bothrocara pusillum,Zoarcidae,Perciformes,Bothrocara pusillum,bathydemersal,221,2189,NA,14.5,SL,NA,NA,NA,NA,NA,terminal,pointed,NA,demersal,NA,NA,NA,NA,NA,NA,NA,NA,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Gymnelus hemifasciatus,Zoarcidae,Perciformes,Gymnelus hemifasciatus,NA,9,200,NA,18,TL,NA,NA,invertivore,USGS,benthic,terminal,pointed,mud gravel,benthic,Inhabits continental shelves (Ref. 11954).  Minimum depth from type locality data (Ref. 51665).  Benthic (Ref. 58426).,Inhabits continental shelves (Ref. 11954).  Minimum depth from type locality data (Ref. 51665).  Benthic (Ref. 58426).,-1.8,10.5,30.62,33.44,NA,mecks,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Gymnelus viridis,Zoarcidae,Perciformes,Gymnelus viridis,demersal,0,320,NA,56,TL,hunting macrofauna (predator),benthivorous,invertivore,Coad et al. 2018,NA,terminal,pointed,all,benthic,"Inhabits continental shelves, but generally living in shallower water (Ref. 11954).  Benthic; feeds on crustaceans, worms and clams (Ref. 58426).  It is preyed upon by seagulls, murres, seals, cod and wolffish (Ref. 5951).","Inhabits continental shelves, but generally living in shallower water (Ref. 11954); usually live over sand and muddy bottoms among seaweeds (Ref. 5951).  Benthic; feeds on crustaceans, worms and clams (Ref. 58426).",NA,NA,NA,NA,NA,NA,guarder,106,11,NA,Coad et al. 2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Lycenchelys camchatica,Zoarcidae,Perciformes,Lycenchelys camchatica,bathydemersal,200,2100,NA,14.5,SL,NA,NA,NA,NA,NA,inferior,pointed,NA,NA,NA,Maximum depth from type locality data (Ref. 51665).,NA,NA,NA,NA,NA,NA,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Lycenchelys crotalinus,Zoarcidae,Perciformes,Lycenchelys crotalinus,NA,200,2816,NA,42.2,TL,NA,NA,invertivore,imputed,benthic,inferior,pointed,mud bottoms,benthic,NA,Found on muddy bottoms (Ref. 2850).,NA,NA,NA,NA,NA,NA,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Lycenchelys jordani,Zoarcidae,Perciformes,Lycenchelys jordani,bathydemersal,1686,2200,NA,33,SL,NA,NA,NA,NA,NA,inferior,pointed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
